"OBJECT_NAME";"OBJECT_TYPE"
"COMUNI_PI";"PROCEDURE"
"COMUNI_PU";"PROCEDURE"
"COMUNI_RRI";"PROCEDURE"
"CONSOLATI_PU";"PROCEDURE"
"DIRITTI_ACCESSO_PI";"PROCEDURE"
"DIRITTI_ACCESSO_PU";"PROCEDURE"
"DISABILITA_UTENTI";"PROCEDURE"
"ELIMINA_LOG";"PROCEDURE"
"EVENTI_ELIMINAZIONE";"PROCEDURE"
"EXTERNAL_FUNCTIONS_PI";"PROCEDURE"
"EXTERNAL_FUNCTIONS_PU";"PROCEDURE"
"ISTANZE_PD";"PROCEDURE"
"ISTANZE_PI";"PROCEDURE"
"ISTANZE_PU";"PROCEDURE"
"MODULI_PD";"PROCEDURE"
"PROVINCE_PI";"PROCEDURE"
"PROVINCE_PU";"PROCEDURE"
"RAGGRUPPAMENTI_STATI_PU";"PROCEDURE"
"REGIONI_PU";"PROCEDURE"
"RUOLI_PD";"PROCEDURE"
"RUOLI_PU";"PROCEDURE"
"SCARICA_DA_LDAP";"PROCEDURE"
"SCHEDULA_RIGENERA_SO";"PROCEDURE"
"SOGGETTI_PM";"PROCEDURE"
"SPORTELLI_PI";"PROCEDURE"
"SPORTELLI_PU";"PROCEDURE"
"STATI_TERRITORI_PI";"PROCEDURE"
"STATI_TERRITORI_PU";"PROCEDURE"
"UTENTI_GRUPPO_PD";"PROCEDURE"
"UTENTI_GRUPPO_PI";"PROCEDURE"
"UTENTI_GRUPPO_PU";"PROCEDURE"
"UTENTI_PD";"PROCEDURE"
"UTENTI_PI";"PROCEDURE"
"UTENTI_PU";"PROCEDURE"
"VERIFICA_VERSIONE_MAGGIORE";"PROCEDURE"
"AD4_ACCESSI";"SYNONYM"
"AD4_ACCESSI_TPK";"SYNONYM"
"AD4_ACCESSO";"SYNONYM"
"AD4_ASL";"SYNONYM"
"AD4_ASL_COMUNE";"SYNONYM"
"AD4_ASSISTENTE_VIRTUALE";"SYNONYM"
"AD4_ASSISTENTE_VIRTUALE_PKG";"SYNONYM"
"AD4_BANCHE";"SYNONYM"
"AD4_BANCHE_TPK";"SYNONYM"
"AD4_CARATTERISTICA_ACCESSO";"SYNONYM"
"AD4_CARATTERISTICHE_ACCESSO";"SYNONYM"
"AD4_CARATTERISTICHE_ACCESS_TPK";"SYNONYM"
"AD4_CODICE_FISCALE";"SYNONYM"
"AD4_COMUNE";"SYNONYM"
"AD4_COMUNI";"SYNONYM"
"AD4_COMUNI_TOTALI";"SYNONYM"
"AD4_COMUNI_TOTALI_TPK";"SYNONYM"
"AD4_COMUNI_TPK";"SYNONYM"
"AD4_CONSOLATI";"SYNONYM"
"AD4_CREDENZIALI";"SYNONYM"
"AD4_CREDENZIALI_LIVELLO";"SYNONYM"
"AD4_CREDENZIALI_UTENTE";"SYNONYM"
"AD4_CRYPT";"SYNONYM"
"AD4_DIRITTI_ACCESSO";"SYNONYM"
"AD4_DIRITTI_ACCESSO_TPK";"SYNONYM"
"AD4_DIRITTO_ACCESSO";"SYNONYM"
"AD4_DISABILITAZIONI";"SYNONYM"
"AD4_ENTI";"SYNONYM"
"AD4_EVENTI";"SYNONYM"
"AD4_EXTERNAL_FUNCTIONS";"SYNONYM"
"AD4_EXTERNAL_FUNCTIONS_TPK";"SYNONYM"
"AD4_GET_GRUPPI_UTENTE";"SYNONYM"
"AD4_GLOBAL_UTILITY";"SYNONYM"
"AD4_GRANT_CATALOG";"SYNONYM"
"AD4_GRANT_TO_DO";"SYNONYM"
"AD4_GRUPPI_LAVORO";"SYNONYM"
"AD4_GRUPPI_LINGUISTICI";"SYNONYM"
"AD4_GRUPPO";"SYNONYM"
"AD4_INCARICHI";"SYNONYM"
"AD4_INCARICHI_TPK";"SYNONYM"
"AD4_INFORMATIVE_PRIVACY";"SYNONYM"
"AD4_INFORMATIVE_PRIVACY_PKG";"SYNONYM"
"AD4_INFORMATIVE_PRIVACY_TPK";"SYNONYM"
"AD4_ISTANZA";"SYNONYM"
"AD4_ISTANZE";"SYNONYM"
"AD4_ISTANZE_TPK";"SYNONYM"
"AD4_JFCUTILS";"SYNONYM"
"AD4_LINGUE";"SYNONYM"
"AD4_LIVELLI_SICUREZZA";"SYNONYM"
"AD4_MODULI";"SYNONYM"
"AD4_MODULI_TPK";"SYNONYM"
"AD4_PAESI_TERRITORI_AG_ENTRATE";"SYNONYM"
"AD4_PARAMETRI_RICHIESTA";"SYNONYM"
"AD4_PARAMETRI_RICHIESTA_TPK";"SYNONYM"
"AD4_PERSONALIZZAZIONI";"SYNONYM"
"AD4_PROGETTI";"SYNONYM"
"AD4_PROGETTI_TPK";"SYNONYM"
"AD4_PROVINCE";"SYNONYM"
"AD4_PROVINCIA";"SYNONYM"
"AD4_PROVINCIE";"SYNONYM"
"AD4_RAGGRUPPAMENTI_STATI";"SYNONYM"
"AD4_REGIONE";"SYNONYM"
"AD4_REGIONI";"SYNONYM"
"AD4_REGIONI_TPK";"SYNONYM"
"AD4_REGISTRO_PAC";"SYNONYM"
"AD4_REGISTRO_UTILITY";"SYNONYM"
"AD4_RICHIESTE_ABILITAZIONE";"SYNONYM"
"AD4_RICHIESTE_ABILITAZIONE_TPK";"SYNONYM"
"AD4_RUOLI";"SYNONYM"
"AD4_RUOLI_APPLICATIVI";"SYNONYM"
"AD4_RUOLI_TPK";"SYNONYM"
"AD4_SCHEDULA_RIGENERA_SO";"SYNONYM"
"AD4_SERVIZI";"SYNONYM"
"AD4_SERVIZI_PKG";"SYNONYM"
"AD4_SERVIZI_TPK";"SYNONYM"
"AD4_SESSIONI_PKG";"SYNONYM"
"AD4_SI4CIM";"SYNONYM"
"AD4_SI4_USER_SOURCE";"SYNONYM"
"AD4_SLAVES";"SYNONYM"
"AD4_SOGGETTI";"SYNONYM"
"AD4_SOGGETTO";"SYNONYM"
"AD4_SPORTELLI";"SYNONYM"
"AD4_SPORTELLI_TPK";"SYNONYM"
"AD4_STATI_TERRITORI";"SYNONYM"
"AD4_STATI_TERRITORI_PKG";"SYNONYM"
"AD4_STATI_TERRITORI_TPK";"SYNONYM"
"AD4_TIPI_CREDENZIALE";"SYNONYM"
"AD4_TRACCIA_ACCESSO";"SYNONYM"
"AD4_USER_INTEGRAZIONI_AD4";"SYNONYM"
"AD4_USL";"SYNONYM"
"AD4_UTENTE";"SYNONYM"
"AD4_UTENTE_GRUPPO";"SYNONYM"
"AD4_UTENTI";"SYNONYM"
"AD4_UTENTI_GRUPPI";"SYNONYM"
"AD4_UTENTI_GRUPPO";"SYNONYM"
"AD4_UTENTI_PRIVACY";"SYNONYM"
"AD4_UTENTI_PRIVACY_TPK";"SYNONYM"
"AD4_UTENTI_SOGGETTI";"SYNONYM"
"AD4_VISTA_COMUNI_STORICI";"SYNONYM"
"ANAG_UNITA";"SYNONYM"
"AS4_ANAGRAFE_SOGGETTI";"SYNONYM"
"AS4_ANAGRAFE_SOGGETTI_PKG";"SYNONYM"
"AS4_ANAGRAFE_SOGGETTI_TPK";"SYNONYM"
"AS4_ANAGRAFICI";"SYNONYM"
"AS4_ANAGRAFICI_PKG";"SYNONYM"
"AS4_CONTATTI";"SYNONYM"
"AS4_RECAPITI";"SYNONYM"
"AS4_SOGGETTI";"SYNONYM"
"AS4_SOGG_SQ";"SYNONYM"
"AS4_STORICO_DATI_SOGGETTO";"SYNONYM"
"AS4_STORICO_SOGGETTI";"SYNONYM"
"AS4_TIPI_CONTATTO";"SYNONYM"
"AS4_TIPI_RECAPITO";"SYNONYM"
"AS4_TIPI_SOGGETTO";"SYNONYM"
"AS4_TIPI_SOGGETTO_TPK";"SYNONYM"
"AS4_XX4_ANAGRAFE_SOGGETTI";"SYNONYM"
"DBMS_BACKUP_RESTORE";"SYNONYM"
"SO4_COMPONENTE";"SYNONYM"
"SO4_SO4_UTIL";"SYNONYM"
"UTENTI_PROFILO";"SYNONYM"
"ACCESSI_TD";"TRIGGER"
"ACCESSI_TIU";"TRIGGER"
"ALLEGATI_TIU";"TRIGGER"
"ALLINEAMENTO_SO4_LDAP_TIU";"TRIGGER"
"AMV_ABILITAZIONI_TB";"TRIGGER"
"AMV_ABILITAZIONI_TC";"TRIGGER"
"AMV_ABILITAZIONI_TD";"TRIGGER"
"AMV_ABILITAZIONI_TIU";"TRIGGER"
